num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 70.850µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     102 |       5 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |      95 |       6 |       7 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |      95 |      41 |      88 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
  5 |     123 |      41 |      88 |      42 |      40 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  6 |     123 |      40 |      42 |      87 |      65 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  7 |     123 |      65 |      42 |      66 |      67 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
  8 |     123 |      67 |      66 |      59 |      57 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  9 |     123 |      57 |      66 |      58 |      59 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 10 |     123 |      59 |      66 |      57 |      80 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 11 |     123 |      80 |      66 |      57 |      59 |      58 |       0 |       0 |       0 |       1 |       0 |       0 |
 12 |     123 |      59 |      66 |      57 |      80 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 13 |     123 |      57 |      66 |      58 |      59 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 14 |     123 |      59 |      66 |      57 |      80 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 15 |     123 |      80 |      66 |      57 |      59 |      58 |       0 |       0 |       0 |       1 |       0 |       0 |
 16 |     123 |      58 |      66 |      75 |      76 |      77 |      78 |      79 |      66 |       1 |       0 |       0 |
 17 |     123 |      66 |      42 |      79 |      67 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 18 |     123 |      67 |      79 |      59 |      57 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 19 |     123 |      57 |      79 |      58 |      59 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 20 |     123 |      59 |      79 |      57 |      80 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 21 |     123 |      80 |      79 |      57 |      59 |      58 |       0 |       0 |       0 |       1 |       0 |       0 |
