num_queries = 64
blowup_factor = 128
grinding_factor = 0
Trace built in 115.055µs
row |   nonce | current |   stack |    nei0 |    nei1 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     138 |       5 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |     130 |       6 |       7 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |     130 |      37 |     114 |       1 |       1 |       0 |
  5 |     123 |      37 |     114 |      38 |      36 |       1 |       0 |       1 |
  6 |     123 |      36 |      38 |     112 |     113 |       1 |       0 |       1 |
  7 |     123 |     113 |      38 |      90 |       0 |       1 |       0 |       0 |
  8 |     123 |      90 |      38 |      90 |      91 |       1 |       0 |       0 |
  9 |     123 |      91 |      38 |      96 |       0 |       1 |       0 |       0 |
 10 |     123 |      96 |      38 |      96 |      97 |       1 |       0 |       0 |
 11 |     123 |      97 |      38 |     104 |       0 |       1 |       0 |       0 |
 12 |     123 |     104 |      38 |     102 |     104 |       1 |       0 |       0 |
 13 |     123 |     102 |      38 |      52 |     103 |       1 |       0 |       0 |
 14 |     123 |     103 |      52 |      53 |       0 |       1 |       0 |       1 |
 15 |     123 |      53 |      52 |      51 |      53 |       1 |       0 |       0 |
 16 |     123 |      51 |      52 |      52 |       0 |       1 |       0 |       0 |
 17 |     123 |      52 |      38 |      55 |     106 |       1 |       1 |       0 |
 18 |     123 |     106 |      55 |      56 |       0 |       1 |       0 |       1 |
 19 |     123 |      56 |      55 |      54 |      56 |       1 |       0 |       0 |
 20 |     123 |      54 |      55 |      55 |       0 |       1 |       0 |       0 |
 21 |     123 |      55 |      38 |      86 |     107 |       1 |       1 |       0 |
 22 |     123 |     107 |      86 |      59 |      60 |       1 |       0 |       1 |
 23 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 24 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 25 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 26 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 27 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 28 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 29 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 30 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 31 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 32 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 33 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 34 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 35 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 36 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 37 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 38 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 39 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 40 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 41 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 42 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 43 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 44 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 45 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 46 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 47 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 48 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 49 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 50 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 51 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 52 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 53 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 54 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 55 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 56 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 57 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 58 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 59 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 60 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 61 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 62 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 63 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 64 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 65 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 66 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 67 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 68 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 69 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 70 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 71 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 72 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 73 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 74 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 75 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 76 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 77 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 78 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 79 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 80 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 81 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 82 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 83 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 84 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 85 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 86 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 87 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 88 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 89 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 90 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 91 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 92 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 93 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 94 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 95 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 96 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
 97 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
 98 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
 99 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
100 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
101 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
102 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
103 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
104 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
105 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
106 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
107 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
108 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
109 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
110 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
111 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
112 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
113 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
114 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
115 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
116 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
117 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
118 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
119 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
120 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
121 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
122 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
123 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
124 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
125 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
126 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
127 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
128 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
129 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
130 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
131 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
132 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
133 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
134 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
135 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
136 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
137 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
138 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
139 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
140 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
141 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
142 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
143 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
144 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
145 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
146 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
147 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
148 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
149 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
150 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
151 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
152 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
153 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
154 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
155 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
156 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
157 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
158 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
159 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
160 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
161 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
162 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
163 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
164 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
165 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
166 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
167 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
168 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
169 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
170 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
171 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
172 |     123 |      58 |      86 |      86 |       0 |       1 |       0 |       0 |
173 |     123 |      86 |      38 |      87 |     108 |       1 |       1 |       0 |
174 |     123 |     108 |      87 |      63 |      64 |       1 |       0 |       1 |
175 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
176 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
177 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
178 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
179 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
180 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
181 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
182 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
183 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
184 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
185 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
186 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
187 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
188 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
189 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
190 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
191 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
192 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
193 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
194 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
195 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
