num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 303.666µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     174 |       5 |       0 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |     166 |       6 |       7 |       0 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |     166 |      42 |      75 |       0 |       1 |       1 |       0 |
  5 |     123 |      42 |      75 |      43 |      41 |       0 |       1 |       0 |       1 |
  6 |     123 |      41 |      43 |     161 |      64 |       0 |       1 |       0 |       1 |
  7 |     123 |      64 |      43 |      20 |      51 |       0 |       1 |       0 |       0 |
  8 |     123 |      20 |      51 |      21 |      22 |       0 |       1 |       0 |       1 |
  9 |     123 |      21 |      51 |      51 |       0 |       0 |       1 |       0 |       0 |
 10 |     123 |      51 |      43 |      34 |      74 |       0 |       1 |       1 |       0 |
 11 |     123 |      34 |      74 |      24 |      35 |       0 |       1 |       0 |       1 |
 12 |     123 |      24 |      35 |      25 |      26 |       0 |       1 |       0 |       1 |
 13 |     123 |      26 |      35 |      54 |      55 |       0 |       1 |       0 |       0 |
 14 |     123 |      55 |      35 |      54 |      70 |       0 |       1 |       0 |       0 |
 15 |     123 |      70 |      35 |      53 |      35 |       0 |       1 |       0 |       0 |
 16 |     123 |      35 |      74 |      79 |       0 |       0 |       1 |       1 |       0 |
 17 |     123 |      79 |      74 |      79 |      80 |       0 |       1 |       0 |       0 |
 18 |     123 |      80 |      74 |      81 |       0 |       0 |       1 |       0 |       0 |
 19 |     123 |      81 |      74 |      81 |      82 |       0 |       1 |       0 |       0 |
 20 |     123 |      82 |      74 |      83 |       0 |       0 |       1 |       0 |       0 |
 21 |     123 |      83 |      74 |      83 |      84 |       0 |       1 |       0 |       0 |
 22 |     123 |      84 |      74 |      85 |       0 |       0 |       1 |       0 |       0 |
 23 |     123 |      85 |      74 |      85 |      86 |       0 |       1 |       0 |       0 |
 24 |     123 |      86 |      74 |      87 |       0 |       0 |       1 |       0 |       0 |
 25 |     123 |      87 |      74 |      87 |      88 |       0 |       1 |       0 |       0 |
 26 |     123 |      88 |      74 |      89 |       0 |       0 |       1 |       0 |       0 |
 27 |     123 |      89 |      74 |      89 |      90 |       0 |       1 |       0 |       0 |
 28 |     123 |      90 |      74 |      92 |      91 |       0 |       1 |       0 |       0 |
 29 |     123 |      91 |      74 |      92 |       0 |       0 |       1 |       0 |       0 |
 30 |     123 |      92 |      74 |      91 |      96 |       0 |       1 |       0 |       0 |
 31 |     123 |      96 |      74 |      94 |      93 |       0 |       1 |       0 |       0 |
 32 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 33 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 34 |     123 |      97 |      74 |      93 |      94 |       0 |       1 |       0 |       0 |
 35 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 36 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 37 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 38 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 39 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 40 |     123 |      97 |      74 |      93 |      94 |       0 |       1 |       0 |       0 |
 41 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 42 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 43 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 44 |     123 |      97 |      74 |      93 |      94 |       0 |       1 |       0 |       0 |
 45 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 46 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 47 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 48 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 49 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 50 |     123 |      97 |      74 |      93 |      94 |       0 |       1 |       0 |       0 |
 51 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 52 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 53 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 54 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 55 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 56 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 57 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 58 |     123 |      97 |      74 |      93 |      94 |       0 |       1 |       0 |       0 |
 59 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 60 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 61 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 62 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 63 |     123 |      94 |      74 |      93 |      97 |       0 |       1 |       0 |       0 |
 64 |     123 |      93 |      74 |      94 |      95 |       0 |       1 |       0 |       0 |
 65 |     123 |      95 |      74 |     159 |      98 |       0 |       1 |       0 |       0 |
 66 |     123 |      98 |      74 |      58 |      99 |       0 |       1 |       0 |       0 |
 67 |     123 |      99 |      58 |      73 |      57 |      61 |       1 |       0 |       1 |
 68 |     123 |      57 |      58 |      58 |      59 |      60 |       1 |       0 |       0 |
 69 |     123 |      58 |      74 |     159 |       0 |       0 |       1 |       1 |       0 |
 70 |     123 |     159 |      74 |      98 |     160 |       0 |       1 |       0 |       0 |
 71 |     123 |      98 |      74 |      58 |      99 |       0 |       1 |       0 |       0 |
 72 |     123 |      99 |      58 |      73 |      57 |      61 |       1 |       0 |       1 |
 73 |     123 |      61 |      58 |      62 |      63 |       0 |       1 |       0 |       0 |
 74 |     123 |      63 |      58 |      62 |      72 |       0 |       1 |       0 |       0 |
 75 |     123 |      62 |      58 |      57 |      71 |       0 |       1 |       0 |       0 |
 76 |     123 |      71 |      58 |      73 |       0 |       0 |       1 |       0 |       0 |
 77 |     123 |      73 |      58 |      57 |      61 |       0 |       1 |       0 |       0 |
 78 |     123 |      57 |      58 |      58 |      59 |      60 |       1 |       0 |       0 |
 79 |     123 |      58 |      74 |     159 |       0 |       0 |       1 |       1 |       0 |
 80 |     123 |     159 |      74 |      98 |     160 |       0 |       1 |       0 |       0 |
 81 |     123 |      98 |      74 |      58 |      99 |       0 |       1 |       0 |       0 |
 82 |     123 |      99 |      58 |      73 |      57 |      61 |       1 |       0 |       1 |
 83 |     123 |      61 |      58 |      62 |      63 |       0 |       1 |       0 |       0 |
 84 |     123 |      63 |      58 |      62 |      72 |       0 |       1 |       0 |       0 |
 85 |     123 |      62 |      58 |      57 |      71 |       0 |       1 |       0 |       0 |
 86 |     123 |      71 |      58 |      73 |       0 |       0 |       1 |       0 |       0 |
 87 |     123 |      73 |      58 |      57 |      61 |       0 |       1 |       0 |       0 |
 88 |     123 |      61 |      58 |      62 |      63 |       0 |       1 |       0 |       0 |
 89 |     123 |      63 |      58 |      62 |      72 |       0 |       1 |       0 |       0 |
 90 |     123 |      72 |      58 |      62 |      71 |       0 |       1 |       0 |       0 |
 91 |     123 |      71 |      58 |      73 |       0 |       0 |       1 |       0 |       0 |
 92 |     123 |      73 |      58 |      57 |      61 |       0 |       1 |       0 |       0 |
 93 |     123 |      57 |      58 |      58 |      59 |      60 |       1 |       0 |       0 |
 94 |     123 |      58 |      74 |     159 |       0 |       0 |       1 |       1 |       0 |
 95 |     123 |     159 |      74 |      98 |     160 |       0 |       1 |       0 |       0 |
 96 |     123 |      98 |      74 |      58 |      99 |       0 |       1 |       0 |       0 |
 97 |     123 |      99 |      58 |      73 |      57 |      61 |       1 |       0 |       1 |
 98 |     123 |      61 |      58 |      62 |      63 |       0 |       1 |       0 |       0 |
 99 |     123 |      63 |      58 |      62 |      72 |       0 |       1 |       0 |       0 |
100 |     123 |      62 |      58 |      57 |      71 |       0 |       1 |       0 |       0 |
101 |     123 |      71 |      58 |      73 |       0 |       0 |       1 |       0 |       0 |
102 |     123 |      73 |      58 |      57 |      61 |       0 |       1 |       0 |       0 |
103 |     123 |      61 |      58 |      62 |      63 |       0 |       1 |       0 |       0 |
104 |     123 |      63 |      58 |      62 |      72 |       0 |       1 |       0 |       0 |
105 |     123 |      72 |      58 |      62 |      71 |       0 |       1 |       0 |       0 |
106 |     123 |      71 |      58 |      73 |       0 |       0 |       1 |       0 |       0 |
107 |     123 |      73 |      58 |      57 |      61 |       0 |       1 |       0 |       0 |
108 |     123 |      57 |      58 |      58 |      59 |      60 |       1 |       0 |       0 |
109 |     123 |      58 |      74 |     159 |       0 |       0 |       1 |       1 |       0 |
110 |     123 |     159 |      74 |      98 |     160 |       0 |       1 |       0 |       0 |
111 |     123 |     160 |      74 |     157 |     100 |       0 |       1 |       0 |       0 |
112 |     123 |     100 |      74 |      60 |      99 |       0 |       1 |       0 |       0 |
113 |     123 |      99 |      60 |      73 |      57 |      61 |       1 |       0 |       1 |
114 |     123 |      61 |      60 |      62 |      63 |       0 |       1 |       0 |       0 |
115 |     123 |      63 |      60 |      62 |      72 |       0 |       1 |       0 |       0 |
116 |     123 |      62 |      60 |      57 |      71 |       0 |       1 |       0 |       0 |
117 |     123 |      71 |      60 |      73 |       0 |       0 |       1 |       0 |       0 |
118 |     123 |      73 |      60 |      57 |      61 |       0 |       1 |       0 |       0 |
119 |     123 |      61 |      60 |      62 |      63 |       0 |       1 |       0 |       0 |
120 |     123 |      62 |      60 |      57 |      71 |       0 |       1 |       0 |       0 |
121 |     123 |      57 |      60 |      58 |      59 |      60 |       1 |       0 |       0 |
122 |     123 |      60 |      74 |      59 |      99 |       0 |       1 |       1 |       0 |
123 |     123 |      99 |      59 |      73 |      57 |      61 |       1 |       0 |       1 |
124 |     123 |      61 |      59 |      62 |      63 |       0 |       1 |       0 |       0 |
125 |     123 |      63 |      59 |      62 |      72 |       0 |       1 |       0 |       0 |
126 |     123 |      62 |      59 |      57 |      71 |       0 |       1 |       0 |       0 |
127 |     123 |      71 |      59 |      73 |       0 |       0 |       1 |       0 |       0 |
128 |     123 |      73 |      59 |      57 |      61 |       0 |       1 |       0 |       0 |
129 |     123 |      61 |      59 |      62 |      63 |       0 |       1 |       0 |       0 |
130 |     123 |      62 |      59 |      57 |      71 |       0 |       1 |       0 |       0 |
131 |     123 |      71 |      59 |      73 |       0 |       0 |       1 |       0 |       0 |
132 |     123 |      73 |      59 |      57 |      61 |       0 |       1 |       0 |       0 |
133 |     123 |      57 |      59 |      58 |      59 |      60 |       1 |       0 |       0 |
134 |     123 |      59 |      74 |     157 |       0 |       0 |       1 |       1 |       0 |
135 |     123 |     157 |      74 |     100 |     158 |       0 |       1 |       0 |       0 |
136 |     123 |     100 |      74 |      60 |      99 |       0 |       1 |       0 |       0 |
137 |     123 |      99 |      60 |      73 |      57 |      61 |       1 |       0 |       1 |
138 |     123 |      61 |      60 |      62 |      63 |       0 |       1 |       0 |       0 |
139 |     123 |      63 |      60 |      62 |      72 |       0 |       1 |       0 |       0 |
140 |     123 |      62 |      60 |      57 |      71 |       0 |       1 |       0 |       0 |
