num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 64.352µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |    nei6 |    nei7 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |      99 |       5 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |      91 |       6 |       7 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |      35 |      42 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  4 |     123 |      35 |      42 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
  5 |     123 |      42 |       7 |      35 |      40 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
  6 |     123 |      35 |      40 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
  7 |     123 |      40 |       7 |      35 |      43 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
  8 |     123 |      35 |      43 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
  9 |     123 |      43 |       7 |      35 |      41 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 10 |     123 |      35 |      41 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
 11 |     123 |      41 |       7 |      35 |      37 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 12 |     123 |      35 |      37 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
 13 |     123 |      37 |       7 |      35 |      38 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 14 |     123 |      35 |      38 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
 15 |     123 |      38 |       7 |      35 |      39 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 16 |     123 |      35 |      39 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
 17 |     123 |      39 |       7 |      35 |      36 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 18 |     123 |      35 |      36 |      36 |      37 |      38 |      39 |      40 |      41 |      42 |      43 |       1 |       0 |       1 |
 19 |     123 |      36 |       7 |       7 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 20 |     123 |       7 |      91 |      52 |      77 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 21 |     123 |      52 |      77 |      47 |      53 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 22 |     123 |      47 |      53 |      48 |      49 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 23 |     123 |      49 |      53 |      78 |      46 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
