num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 59.703µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     100 |       5 |       0 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |     112 |       6 |       7 |       0 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |     112 |      36 |      86 |       0 |       1 |       1 |       0 |
  5 |     123 |      36 |      86 |      37 |      35 |       0 |       1 |       0 |       1 |
  6 |     123 |      35 |      37 |      85 |      57 |       0 |       1 |       0 |       1 |
  7 |     123 |      57 |      37 |      54 |      58 |       0 |       1 |       0 |       0 |
  8 |     123 |      58 |      54 |      66 |      76 |       0 |       1 |       0 |       1 |
  9 |     123 |      76 |      54 |      67 |       0 |       0 |       1 |       0 |       0 |
 10 |     123 |      67 |      54 |      65 |      67 |       0 |       1 |       0 |       0 |
 11 |     123 |      67 |      54 |      65 |      67 |       0 |       1 |       0 |       0 |
 12 |     123 |      65 |      54 |      66 |       0 |       0 |       1 |       0 |       0 |
 13 |     123 |      66 |      54 |      53 |      76 |       0 |       1 |       0 |       0 |
 14 |     123 |      53 |      54 |      54 |       0 |       0 |       1 |       0 |       0 |
 15 |     123 |      54 |      37 |      56 |      84 |       0 |       1 |       1 |       0 |
 16 |     123 |      84 |      56 |      69 |      77 |       0 |       1 |       0 |       1 |
 17 |     123 |      77 |      56 |      93 |      70 |      68 |       1 |       0 |       0 |
 18 |     123 |      70 |      56 |      71 |      72 |       0 |       1 |       0 |       0 |
 19 |     123 |      71 |      72 |      78 |       0 |       0 |       1 |       0 |       1 |
 20 |     123 |      78 |      72 |      72 |       0 |       0 |       1 |       0 |       0 |
 21 |     123 |      72 |      56 |      93 |       0 |       0 |       1 |       1 |       0 |
 22 |     123 |      93 |      56 |      68 |      70 |       0 |       1 |       0 |       0 |
 23 |     123 |      68 |      56 |      69 |       0 |       0 |       1 |       0 |       0 |
 24 |     123 |      69 |      56 |      55 |      77 |       0 |       1 |       0 |       0 |
 25 |     123 |      77 |      56 |      93 |      70 |      68 |       1 |       0 |       0 |
 26 |     123 |      70 |      56 |      71 |      72 |       0 |       1 |       0 |       0 |
 27 |     123 |      71 |      72 |      78 |       0 |       0 |       1 |       0 |       1 |
 28 |     123 |      78 |      72 |      72 |       0 |       0 |       1 |       0 |       0 |
 29 |     123 |      72 |      56 |      93 |       0 |       0 |       1 |       1 |       0 |
 30 |     123 |      93 |      56 |      68 |      70 |       0 |       1 |       0 |       0 |
 31 |     123 |      68 |      56 |      69 |       0 |       0 |       1 |       0 |       0 |
 32 |     123 |      69 |      56 |      55 |      77 |       0 |       1 |       0 |       0 |
 33 |     123 |      77 |      56 |      93 |      70 |      68 |       1 |       0 |       0 |
 34 |     123 |      70 |      56 |      71 |      72 |       0 |       1 |       0 |       0 |
 35 |     123 |      71 |      72 |      78 |       0 |       0 |       1 |       0 |       1 |
 36 |     123 |      78 |      72 |      72 |       0 |       0 |       1 |       0 |       0 |
 37 |     123 |      72 |      56 |      93 |       0 |       0 |       1 |       1 |       0 |
 38 |     123 |      93 |      56 |      68 |      70 |       0 |       1 |       0 |       0 |
 39 |     123 |      68 |      56 |      69 |       0 |       0 |       1 |       0 |       0 |
 40 |     123 |      69 |      56 |      55 |      77 |       0 |       1 |       0 |       0 |
 41 |     123 |      77 |      56 |      93 |      70 |      68 |       1 |       0 |       0 |
 42 |     123 |      70 |      56 |      71 |      72 |       0 |       1 |       0 |       0 |
 43 |     123 |      71 |      72 |      78 |       0 |       0 |       1 |       0 |       1 |
 44 |     123 |      78 |      72 |      72 |       0 |       0 |       1 |       0 |       0 |
 45 |     123 |      72 |      56 |      93 |       0 |       0 |       1 |       1 |       0 |
 46 |     123 |      93 |      56 |      68 |      70 |       0 |       1 |       0 |       0 |
 47 |     123 |      68 |      56 |      69 |       0 |       0 |       1 |       0 |       0 |
 48 |     123 |      69 |      56 |      55 |      77 |       0 |       1 |       0 |       0 |
 49 |     123 |      77 |      56 |      93 |      70 |      68 |       1 |       0 |       0 |
 50 |     123 |      68 |      56 |      69 |       0 |       0 |       1 |       0 |       0 |
 51 |     123 |      69 |      56 |      55 |      77 |       0 |       1 |       0 |       0 |
 52 |     123 |      55 |      56 |      56 |       0 |       0 |       1 |       0 |       0 |
 53 |     123 |      56 |      37 |      85 |       0 |       0 |       1 |       1 |       0 |
 54 |     123 |      85 |      37 |      57 |      59 |       0 |       1 |       0 |       0 |
 55 |     123 |      59 |      37 |      34 |      37 |       0 |       1 |       0 |       0 |
 56 |     123 |      37 |      86 |      86 |       0 |       0 |       1 |       1 |       0 |
 57 |     123 |      86 |     112 |      38 |      60 |       0 |       1 |       1 |       0 |
 58 |     123 |      38 |      60 |      39 |      40 |       0 |       1 |       0 |       1 |
 59 |     123 |      38 |      60 |       0 |       0 |       0 |       0 |       0 |       0 |
 60 |     123 |      38 |      60 |       0 |       0 |       0 |       0 |       0 |       0 |
 61 |     123 |      38 |      60 |       0 |       0 |       0 |       0 |       0 |       0 |
 62 |     123 |      38 |      60 |       0 |       0 |       0 |       0 |       0 |       0 |
 63 |     123 |      38 |      60 |       0 |       0 |       0 |       0 |       0 |       0 |
Proving time: 10.143ms
Proof size: 33.57 KiB (34379 bytes)
Valid Proof
 Verification succeeded in 1.253ms
Done. Trace build: 59.703µs | Prove: 10.143ms | Verify: 1.253ms | Proof: 33.57 KiB (34379 bytes)
