num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 283.203µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     323 |       5 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |     242 |       6 |       7 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |     242 |      51 |     235 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
  5 |     123 |      51 |     235 |      52 |      50 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  6 |     123 |      50 |      52 |     303 |      82 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  7 |     123 |      82 |      52 |      83 |      84 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
  8 |     123 |      83 |      84 |     118 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
  9 |     123 |     118 |      84 |     134 |      84 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 10 |     123 |      84 |      52 |      45 |     245 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 11 |     123 |      45 |     245 |      46 |      47 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 12 |     123 |      46 |      47 |      81 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 13 |     123 |      81 |      47 |      47 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 14 |     123 |      47 |     245 |     246 |     247 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 15 |     123 |     246 |     245 |      83 |     134 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 16 |     123 |      83 |     134 |     118 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 17 |     123 |     118 |     134 |     134 |      84 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 18 |     123 |     134 |     245 |     287 |     251 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 19 |     123 |     251 |     245 |      42 |     142 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 20 |     123 |      42 |     142 |      43 |      44 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 21 |     123 |      43 |     142 |      33 |      68 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
