num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 156.643µs
row |   nonce | current |   stack |    nei0 |    nei1 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     422 |       5 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |     415 |       6 |       7 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |     415 |      53 |     407 |       1 |       1 |       0 |
  5 |     123 |      53 |     407 |      54 |      52 |       1 |       0 |       1 |
  6 |     123 |      52 |      54 |     405 |     406 |       1 |       0 |       1 |
  7 |     123 |     406 |      54 |     126 |       0 |       1 |       0 |       0 |
  8 |     123 |     126 |      54 |     125 |     126 |       1 |       0 |       0 |
  9 |     123 |     125 |      54 |      36 |      37 |       1 |       0 |       0 |
 10 |     123 |      36 |      37 |      37 |       0 |       1 |       0 |       1 |
 11 |     123 |      37 |      54 |      33 |     252 |       1 |       1 |       0 |
 12 |     123 |      33 |     252 |      34 |      35 |       1 |       0 |       1 |
 13 |     123 |      34 |     252 |      67 |      68 |       1 |       0 |       0 |
 14 |     123 |      67 |     252 |      96 |       0 |       1 |       0 |       0 |
 15 |     123 |      96 |     252 |      97 |     100 |       1 |       0 |       0 |
 16 |     123 |      97 |     252 |      98 |      99 |       1 |       0 |       0 |
 17 |     123 |      98 |     252 |     130 |     131 |       1 |       0 |       0 |
 18 |     123 |     130 |     252 |     161 |     162 |       1 |       0 |       0 |
 19 |     123 |     161 |     252 |     190 |     191 |       1 |       0 |       0 |
 20 |     123 |     190 |     252 |     219 |     220 |       1 |       0 |       0 |
 21 |     123 |     219 |     252 |     251 |     220 |       1 |       0 |       0 |
 22 |     123 |     251 |     252 |     252 |       0 |       1 |       0 |       0 |
 23 |     123 |     252 |      54 |     403 |     404 |       1 |       1 |       0 |
 24 |     123 |     404 |     403 |     401 |      86 |       1 |       0 |       1 |
 25 |     123 |      86 |     403 |      87 |      88 |       1 |       0 |       0 |
 26 |     123 |      88 |     403 |     123 |     124 |       1 |       0 |       0 |
 27 |     123 |     124 |     403 |     119 |     150 |       1 |       0 |       0 |
 28 |     123 |     150 |     403 |     149 |     186 |       1 |       0 |       0 |
 29 |     123 |     186 |     403 |     185 |     217 |       1 |       0 |       0 |
 30 |     123 |     217 |     403 |     216 |     249 |       1 |       0 |       0 |
 31 |     123 |     249 |     403 |     248 |     280 |       1 |       0 |       0 |
 32 |     123 |     280 |     403 |     306 |     307 |       1 |       0 |       0 |
 33 |     123 |     306 |     403 |     326 |     327 |       1 |       0 |       0 |
 34 |     123 |     326 |     403 |     343 |     344 |       1 |       0 |       0 |
 35 |     123 |     343 |     403 |      38 |      69 |       1 |       0 |       0 |
 36 |     123 |      38 |      69 |      39 |      40 |       1 |       0 |       1 |
 37 |     123 |      39 |      69 |      69 |       0 |       1 |       0 |       0 |
 38 |     123 |      69 |     403 |      41 |     107 |       1 |       1 |       0 |
 39 |     123 |      41 |     107 |      42 |      43 |       1 |       0 |       1 |
 40 |     123 |      42 |     107 |      72 |      73 |       1 |       0 |       0 |
 41 |     123 |      72 |     107 |     107 |       0 |       1 |       0 |       0 |
 42 |     123 |     107 |     403 |      44 |      76 |       1 |       1 |       0 |
 43 |     123 |      44 |      76 |      45 |      46 |       1 |       0 |       1 |
 44 |     123 |      45 |      76 |      76 |       0 |       1 |       0 |       0 |
 45 |     123 |      76 |     403 |      47 |     114 |       1 |       1 |       0 |
 46 |     123 |      47 |     114 |      48 |      49 |       1 |       0 |       1 |
 47 |     123 |      48 |     114 |      79 |      80 |       1 |       0 |       0 |
 48 |     123 |      79 |     114 |     114 |       0 |       1 |       0 |       0 |
 49 |     123 |     114 |     403 |     400 |       0 |       1 |       1 |       0 |
 50 |     123 |     400 |     403 |     401 |     402 |       1 |       0 |       0 |
 51 |     123 |     401 |     403 |      83 |      86 |       1 |       0 |       0 |
 52 |     123 |      83 |     403 |      84 |      85 |       1 |       0 |       0 |
 53 |     123 |      84 |     403 |     119 |     120 |       1 |       0 |       0 |
 54 |     123 |     119 |     403 |     149 |     150 |       1 |       0 |       0 |
 55 |     123 |     150 |     403 |     149 |     186 |       1 |       0 |       0 |
 56 |     123 |     186 |     403 |     185 |     217 |       1 |       0 |       0 |
 57 |     123 |     217 |     403 |     216 |     249 |       1 |       0 |       0 |
 58 |     123 |     249 |     403 |     248 |     280 |       1 |       0 |       0 |
 59 |     123 |     280 |     403 |     306 |     307 |       1 |       0 |       0 |
 60 |     123 |     306 |     403 |     326 |     327 |       1 |       0 |       0 |
 61 |     123 |     326 |     403 |     343 |     344 |       1 |       0 |       0 |
 62 |     123 |     343 |     403 |      38 |      69 |       1 |       0 |       0 |
 63 |     123 |      38 |      69 |      39 |      40 |       1 |       0 |       1 |
 64 |     123 |      39 |      69 |      69 |       0 |       1 |       0 |       0 |
 65 |     123 |      69 |     403 |      41 |     107 |       1 |       1 |       0 |
 66 |     123 |      41 |     107 |      42 |      43 |       1 |       0 |       1 |
 67 |     123 |      42 |     107 |      72 |      73 |       1 |       0 |       0 |
 68 |     123 |      72 |     107 |     107 |       0 |       1 |       0 |       0 |
 69 |     123 |     107 |     403 |      44 |      76 |       1 |       1 |       0 |
 70 |     123 |      44 |      76 |      45 |      46 |       1 |       0 |       1 |
 71 |     123 |      45 |      76 |      76 |       0 |       1 |       0 |       0 |
 72 |     123 |      76 |     403 |      47 |     114 |       1 |       1 |       0 |
 73 |     123 |      47 |     114 |      48 |      49 |       1 |       0 |       1 |
 74 |     123 |      48 |     114 |      79 |      80 |       1 |       0 |       0 |
 75 |     123 |      79 |     114 |     114 |       0 |       1 |       0 |       0 |
 76 |     123 |     114 |     403 |     400 |       0 |       1 |       1 |       0 |
 77 |     123 |     400 |     403 |     401 |     402 |       1 |       0 |       0 |
 78 |     123 |     402 |     403 |     403 |       0 |       1 |       0 |       0 |
 79 |     123 |     403 |      54 |     405 |       0 |       1 |       1 |       0 |
 80 |     123 |     405 |      54 |      89 |     406 |       1 |       0 |       0 |
 81 |     123 |      89 |      54 |      51 |      54 |       1 |       0 |       0 |
 82 |     123 |      54 |     407 |     407 |       0 |       1 |       1 |       0 |
 83 |     123 |     407 |     415 |     158 |     414 |       1 |       1 |       0 |
 84 |     123 |     414 |     158 |      90 |       0 |       1 |       0 |       1 |
 85 |     123 |      90 |     158 |      90 |      91 |       1 |       0 |       0 |
 86 |     123 |      91 |     158 |     129 |     127 |       1 |       0 |       0 |
 87 |     123 |     127 |     158 |     128 |     129 |       1 |       0 |       0 |
 88 |     123 |     129 |     158 |     127 |     156 |       1 |       0 |       0 |
 89 |     123 |     127 |     158 |     128 |     129 |       1 |       0 |       0 |
 90 |     123 |     128 |     158 |     154 |     155 |       1 |       0 |       0 |
 91 |     123 |     154 |     158 |     188 |     155 |       1 |       0 |       0 |
 92 |     123 |     188 |     158 |     218 |     155 |       1 |       0 |       0 |
 93 |     123 |     218 |     158 |     250 |     155 |       1 |       0 |       0 |
 94 |     123 |     250 |     158 |     282 |     155 |       1 |       0 |       0 |
 95 |     123 |     282 |     158 |     309 |     155 |       1 |       0 |       0 |
 96 |     123 |     309 |     158 |     329 |     155 |       1 |       0 |       0 |
 97 |     123 |     329 |     158 |     346 |     155 |       1 |       0 |       0 |
 98 |     123 |     346 |     158 |     155 |       0 |       1 |       0 |       0 |
 99 |     123 |     155 |     158 |     157 |     159 |       1 |       0 |       0 |
100 |     123 |     157 |     158 |     158 |       0 |       1 |       0 |       0 |
101 |     123 |     158 |     415 |     415 |       0 |       1 |       1 |       0 |
102 |     123 |     415 |     422 |       0 |       0 |       1 |       1 |       0 |
103 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
104 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
105 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
106 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
107 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
108 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
109 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
110 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
111 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
112 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
113 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
114 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
115 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
116 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
117 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
118 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
119 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
120 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
121 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
122 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
123 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
124 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
125 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
126 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
127 |     123 |     415 |     422 |       0 |       0 |       0 |       0 |       0 |
Proving time: 17.090ms
Proof size: 36.34 KiB (37217 bytes)
Valid Proof
 Verification succeeded in 1.361ms
Done. Trace build: 156.643µs | Prove: 17.090ms | Verify: 1.361ms | Proof: 36.34 KiB (37217 bytes)
