num_queries = 32
blowup_factor = 16
grinding_factor = 0
Trace built in 87.573µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |   valid |     ret |    call |
----+---------+---------+---------+---------+---------+---------+---------+---------+---------+
  0 |     123 |       0 |       0 |       1 |       0 |       0 |       1 |       0 |       0 |
  1 |     123 |       1 |     119 |       5 |       0 |       0 |       1 |       0 |       1 |
  2 |     123 |       5 |     111 |       6 |       7 |       0 |       1 |       0 |       1 |
  3 |     123 |       6 |       7 |       7 |       0 |       0 |       1 |       0 |       1 |
  4 |     123 |       7 |     111 |      36 |     100 |       0 |       1 |       1 |       0 |
  5 |     123 |      36 |     100 |      37 |      35 |       0 |       1 |       0 |       1 |
  6 |     123 |      35 |      37 |      98 |      99 |       0 |       1 |       0 |       1 |
  7 |     123 |      99 |      37 |      76 |      78 |       0 |       1 |       0 |       0 |
  8 |     123 |      78 |      37 |      64 |      77 |      74 |       1 |       0 |       0 |
  9 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 10 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 11 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 12 |     123 |      74 |      37 |      75 |      76 |       0 |       1 |       0 |       0 |
 13 |     123 |      76 |      37 |      77 |      63 |       0 |       1 |       0 |       0 |
 14 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 15 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 16 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 17 |     123 |      78 |      37 |      64 |      77 |      74 |       1 |       0 |       0 |
 18 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 19 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 20 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 21 |     123 |      74 |      37 |      75 |      76 |       0 |       1 |       0 |       0 |
 22 |     123 |      76 |      37 |      77 |      63 |       0 |       1 |       0 |       0 |
 23 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 24 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 25 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 26 |     123 |      78 |      37 |      64 |      77 |      74 |       1 |       0 |       0 |
 27 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 28 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 29 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 30 |     123 |      74 |      37 |      75 |      76 |       0 |       1 |       0 |       0 |
 31 |     123 |      76 |      37 |      77 |      63 |       0 |       1 |       0 |       0 |
 32 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 33 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 34 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 35 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 36 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 37 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 38 |     123 |      78 |      37 |      64 |      77 |      74 |       1 |       0 |       0 |
 39 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 40 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 41 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 42 |     123 |      74 |      37 |      75 |      76 |       0 |       1 |       0 |       0 |
 43 |     123 |      76 |      37 |      77 |      63 |       0 |       1 |       0 |       0 |
 44 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 45 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 46 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 47 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 48 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 49 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 50 |     123 |      78 |      37 |      64 |      77 |      74 |       1 |       0 |       0 |
 51 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 52 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 53 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 54 |     123 |      74 |      37 |      75 |      76 |       0 |       1 |       0 |       0 |
 55 |     123 |      76 |      37 |      77 |      63 |       0 |       1 |       0 |       0 |
 56 |     123 |      63 |      37 |      64 |       0 |       0 |       1 |       0 |       0 |
 57 |     123 |      64 |      37 |      74 |      77 |       0 |       1 |       0 |       0 |
 58 |     123 |      77 |      37 |      63 |      78 |       0 |       1 |       0 |       0 |
 59 |     123 |      78 |      37 |      64 |      77 |      74 |       1 |       0 |       0 |
 60 |     123 |      74 |      37 |      75 |      76 |       0 |       1 |       0 |       0 |
 61 |     123 |      75 |      37 |      79 |      94 |       0 |       1 |       0 |       0 |
 62 |     123 |      94 |      79 |      72 |      91 |       0 |       1 |       0 |       1 |
 63 |     123 |      91 |      79 |      73 |      60 |       0 |       1 |       0 |       0 |
 64 |     123 |      60 |      79 |      61 |      62 |       0 |       1 |       0 |       0 |
 65 |     123 |      61 |      79 |      73 |       0 |       0 |       1 |       0 |       0 |
 66 |     123 |      73 |      79 |      60 |      92 |       0 |       1 |       0 |       0 |
 67 |     123 |      92 |      79 |      88 |      97 |       0 |       1 |       0 |       0 |
 68 |     123 |      97 |      79 |      89 |      87 |       0 |       1 |       0 |       0 |
 69 |     123 |      87 |      79 |      88 |       0 |       0 |       1 |       0 |       0 |
 70 |     123 |      88 |      79 |      71 |      97 |       0 |       1 |       0 |       0 |
 71 |     123 |      71 |      79 |      72 |       0 |       0 |       1 |       0 |       0 |
 72 |     123 |      72 |      79 |      90 |      91 |       0 |       1 |       0 |       0 |
 73 |     123 |      91 |      79 |      73 |      60 |       0 |       1 |       0 |       0 |
 74 |     123 |      60 |      79 |      61 |      62 |       0 |       1 |       0 |       0 |
 75 |     123 |      62 |      79 |      93 |      61 |       0 |       1 |       0 |       0 |
 76 |     123 |      61 |      79 |      73 |       0 |       0 |       1 |       0 |       0 |
 77 |     123 |      73 |      79 |      60 |      92 |       0 |       1 |       0 |       0 |
 78 |     123 |      92 |      79 |      88 |      97 |       0 |       1 |       0 |       0 |
 79 |     123 |      97 |      79 |      89 |      87 |       0 |       1 |       0 |       0 |
 80 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
 81 |     123 |      87 |      79 |      88 |       0 |       0 |       1 |       0 |       0 |
 82 |     123 |      88 |      79 |      71 |      97 |       0 |       1 |       0 |       0 |
 83 |     123 |      71 |      79 |      72 |       0 |       0 |       1 |       0 |       0 |
 84 |     123 |      72 |      79 |      90 |      91 |       0 |       1 |       0 |       0 |
 85 |     123 |      91 |      79 |      73 |      60 |       0 |       1 |       0 |       0 |
 86 |     123 |      60 |      79 |      61 |      62 |       0 |       1 |       0 |       0 |
 87 |     123 |      62 |      79 |      93 |      61 |       0 |       1 |       0 |       0 |
 88 |     123 |      93 |      79 |      61 |      93 |       0 |       1 |       0 |       0 |
 89 |     123 |      61 |      79 |      73 |       0 |       0 |       1 |       0 |       0 |
 90 |     123 |      73 |      79 |      60 |      92 |       0 |       1 |       0 |       0 |
 91 |     123 |      92 |      79 |      88 |      97 |       0 |       1 |       0 |       0 |
 92 |     123 |      97 |      79 |      89 |      87 |       0 |       1 |       0 |       0 |
 93 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
 94 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
 95 |     123 |      87 |      79 |      88 |       0 |       0 |       1 |       0 |       0 |
 96 |     123 |      88 |      79 |      71 |      97 |       0 |       1 |       0 |       0 |
 97 |     123 |      71 |      79 |      72 |       0 |       0 |       1 |       0 |       0 |
 98 |     123 |      72 |      79 |      90 |      91 |       0 |       1 |       0 |       0 |
 99 |     123 |      91 |      79 |      73 |      60 |       0 |       1 |       0 |       0 |
100 |     123 |      60 |      79 |      61 |      62 |       0 |       1 |       0 |       0 |
101 |     123 |      62 |      79 |      93 |      61 |       0 |       1 |       0 |       0 |
102 |     123 |      93 |      79 |      61 |      93 |       0 |       1 |       0 |       0 |
103 |     123 |      93 |      79 |      61 |      93 |       0 |       1 |       0 |       0 |
104 |     123 |      61 |      79 |      73 |       0 |       0 |       1 |       0 |       0 |
105 |     123 |      73 |      79 |      60 |      92 |       0 |       1 |       0 |       0 |
106 |     123 |      92 |      79 |      88 |      97 |       0 |       1 |       0 |       0 |
107 |     123 |      97 |      79 |      89 |      87 |       0 |       1 |       0 |       0 |
108 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
109 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
110 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
111 |     123 |      87 |      79 |      88 |       0 |       0 |       1 |       0 |       0 |
112 |     123 |      88 |      79 |      71 |      97 |       0 |       1 |       0 |       0 |
113 |     123 |      71 |      79 |      72 |       0 |       0 |       1 |       0 |       0 |
114 |     123 |      72 |      79 |      90 |      91 |       0 |       1 |       0 |       0 |
115 |     123 |      91 |      79 |      73 |      60 |       0 |       1 |       0 |       0 |
116 |     123 |      60 |      79 |      61 |      62 |       0 |       1 |       0 |       0 |
117 |     123 |      62 |      79 |      93 |      61 |       0 |       1 |       0 |       0 |
118 |     123 |      93 |      79 |      61 |      93 |       0 |       1 |       0 |       0 |
119 |     123 |      61 |      79 |      73 |       0 |       0 |       1 |       0 |       0 |
120 |     123 |      73 |      79 |      60 |      92 |       0 |       1 |       0 |       0 |
121 |     123 |      92 |      79 |      88 |      97 |       0 |       1 |       0 |       0 |
122 |     123 |      97 |      79 |      89 |      87 |       0 |       1 |       0 |       0 |
123 |     123 |      89 |      79 |      87 |      89 |       0 |       1 |       0 |       0 |
124 |     123 |      87 |      79 |      88 |       0 |       0 |       1 |       0 |       0 |
125 |     123 |      88 |      79 |      71 |      97 |       0 |       1 |       0 |       0 |
126 |     123 |      71 |      79 |      72 |       0 |       0 |       1 |       0 |       0 |
127 |     123 |      72 |      79 |      90 |      91 |       0 |       1 |       0 |       0 |
128 |     123 |      90 |      79 |      69 |      86 |       0 |       1 |       0 |       0 |
129 |     123 |      86 |      79 |      70 |      68 |       0 |       1 |       0 |       0 |
130 |     123 |      68 |      79 |      69 |       0 |       0 |       1 |       0 |       0 |
131 |     123 |      69 |      79 |      85 |      86 |       0 |       1 |       0 |       0 |
132 |     123 |      86 |      79 |      70 |      68 |       0 |       1 |       0 |       0 |
133 |     123 |      70 |      79 |      68 |      70 |       0 |       1 |       0 |       0 |
134 |     123 |      68 |      79 |      69 |       0 |       0 |       1 |       0 |       0 |
135 |     123 |      69 |      79 |      85 |      86 |       0 |       1 |       0 |       0 |
136 |     123 |      86 |      79 |      70 |      68 |       0 |       1 |       0 |       0 |
137 |     123 |      70 |      79 |      68 |      70 |       0 |       1 |       0 |       0 |
138 |     123 |      70 |      79 |      68 |      70 |       0 |       1 |       0 |       0 |
139 |     123 |      68 |      79 |      69 |       0 |       0 |       1 |       0 |       0 |
140 |     123 |      69 |      79 |      85 |      86 |       0 |       1 |       0 |       0 |
