bench,run,num_queries,blowup_factor,grinding_factor,trace_build,prove,verify,proof_kib,proof_bytes
"aha-mont64","1","64","64","0","69.814µs","26.173ms","1.559ms","45.60","46699"
"aha-mont64","2","64","64","0","71.295µs","25.464ms","1.560ms","45.60","46699"
"aha-mont64","3","64","64","0","70.054µs","23.203ms","1.515ms","45.60","46699"
"aha-mont64","4","64","64","0","70.166µs","26.479ms","1.516ms","45.60","46699"
"aha-mont64","5","64","64","0","69.425µs","23.994ms","1.564ms","45.60","46699"
"crc32","1","64","64","0","49.814µs","5.073ms","966.114µs","27.28","27937"
"crc32","2","64","64","0","47.888µs","5.213ms","917.078µs","27.28","27937"
"crc32","3","64","64","0","50.203µs","5.222ms","919.133µs","27.28","27937"
"crc32","4","64","64","0","49.148µs","5.295ms","917.337µs","27.28","27937"
"crc32","5","64","64","0","49.610µs","7.236ms","920.875µs","27.28","27937"
"cubic","1","64","64","0","55.537µs","7.441ms","986.354µs","33.69","34495"
"cubic","2","64","64","0","55.999µs","7.001ms","981.411µs","33.69","34495"
"cubic","3","64","64","0","56.888µs","7.629ms","1.007ms","33.69","34495"
"cubic","4","64","64","0","56.036µs","7.449ms","978.095µs","33.69","34495"
"cubic","5","64","64","0","55.758µs","5.681ms","950.355µs","33.69","34495"
"edn","1","64","64","0","112.646µs","68.275ms","2.192ms","61.71","63189"
"edn","2","64","64","0","118.572µs","66.020ms","2.187ms","61.71","63189"
"edn","3","64","64","0","114.257µs","66.470ms","2.327ms","61.71","63189"
"edn","4","64","64","0","115.887µs","65.711ms","2.277ms","61.71","63189"
"edn","5","64","64","0","119.701µs","66.523ms","2.307ms","61.71","63189"
"matmult-int","1","64","64","0","62.665µs","16.504ms","1.271ms","42.90","43927"
"matmult-int","2","64","64","0","61.925µs","19.744ms","1.262ms","42.90","43927"
"matmult-int","3","64","64","0","63.611µs","17.612ms","1.278ms","42.90","43927"
"matmult-int","4","64","64","0","63.925µs","14.715ms","1.272ms","42.90","43927"
"matmult-int","5","64","64","0","64.369µs","19.754ms","1.265ms","42.90","43927"
"nbody","1","64","64","0","60.536µs","14.064ms","1.337ms","33.57","34379"
"nbody","2","64","64","0","60.055µs","10.240ms","1.144ms","33.57","34379"
"nbody","3","64","64","0","59.444µs","14.439ms","1.144ms","33.57","34379"
"nbody","4","64","64","0","59.666µs","13.350ms","1.218ms","33.57","34379"
"nbody","5","64","64","0","60.943µs","15.085ms","1.146ms","33.57","34379"
"nsichneu","1","64","64","0","390.068µs","130.600ms","2.744ms","72.15","73878"
"nsichneu","2","64","64","0","383.660µs","122.956ms","2.880ms","72.15","73878"
"nsichneu","3","64","64","0","384.827µs","124.248ms","2.743ms","72.15","73878"
"nsichneu","4","64","64","0","384.365µs","126.883ms","2.820ms","72.15","73878"
"nsichneu","5","64","64","0","397.587µs","125.792ms","2.837ms","72.15","73878"
"slre","1","64","64","0","294.810µs","193.921ms","3.025ms","80.77","82711"
"slre","2","64","64","0","336.679µs","191.255ms","2.964ms","80.77","82711"
"slre","3","64","64","0","283.884µs","190.968ms","3.065ms","80.77","82711"
"slre","4","64","64","0","280.570µs","191.664ms","2.883ms","80.77","82711"
"slre","5","64","64","0","283.088µs","190.695ms","2.879ms","80.77","82711"
"statemate","1","64","64","0","160.238µs","18.872ms","1.508ms","36.34","37217"
"statemate","2","64","64","0","157.423µs","22.458ms","1.481ms","36.04","36907"
"statemate","3","64","64","0","159.812µs","21.914ms","1.392ms","36.34","37217"
"statemate","4","64","64","0","157.849µs","21.300ms","1.351ms","36.34","37217"
"statemate","5","64","64","0","158.516µs","17.731ms","1.355ms","36.34","37217"
"ud","1","64","64","0","83.739µs","39.912ms","1.954ms","46.51","47627"
"ud","2","64","64","0","85.980µs","38.753ms","1.914ms","46.51","47627"
"ud","3","64","64","0","85.203µs","41.318ms","1.911ms","46.51","47627"
"ud","4","64","64","0","86.073µs","39.918ms","1.941ms","46.51","47627"
"ud","5","64","64","0","92.480µs","40.329ms","1.924ms","47.01","48139"
